1,Steven,Mitchell,506 Buena Vista Alley,20122,Fort Myers,United States,1-(239)241-6063,5/4/77,Male,3528787571070890,753-19-4451,William Paterson University,smitchell0@indiatimes.com,"Respiratory failure of newborn, this is our zip code 20122." 
2,Bonnie,Wright,4757 Cherokee Court,54431,Toledo,United States,1-(419)464-7836,2/29/92,Female,5100179936215430,227-01-8111,University of Nebraska Medical Center,bwright1@dedecms.com,"Puncture wound without foreign body, right 1-(419)464-7836 ankle"
3,Carl,Porter,6763 Debra Alley,42749,Chicago,United States,1-(312)726-5019,1/25/08,Male,5279452872986080,462-40-8939,Beth-El College of Nursing and Health Sciences,cporter2@g.co,"Chondromalacia, 1/25/08 multiple sites"
4,Mildred,Diaz,8472 Shoshone Center,44415,Lincoln,United States,(770)908-2744,8/11/91,Female,371162792345356,348-14-1644,"Embry Riddle Aeronautical University, Prescott",mdiaz3@nyu.edu,"Laceration w foreign body of vagina and 371162792345356 vulva, subs encntr"
5,Michelle,Gray,7627 Glacier Hill Pass,36527,Raleigh,United States,(419)641-4602,6/21/95,Female,3563286544761020,297-81-9574,Lake Forest Graduate School of Management,mgray4@weather.com,"Nondisp fx of lunate, unsp wrist, subs for fx w 371162792345356malunion"
6,Linda,Meyer,25 Summer Ridge Crossing,82544,Colorado Springs,United States,(804)187-1345,10/7/84,Female,30556707711557,776-43-8988,Midland Lutheran College,lmeyer5@wisc.edu,"Blister (nonthermal), unspecified 30556707711557 hip, sequela"
7,Richard,Myers,34249 Helena Place,96657,Los Angeles,United States,18127379762,8/8/94,Male,3544312341100810,706-96-4413,Bloomfield College,rmyers6@irs.gov,Breakdown (mechanical) of other cardiac 776-43-8988 electronic device
8,Lisa,Garza,8549 Arizona Pass,67298,New Haven,United States,13122891790,12/9/94,Female,56109573644838600,193-65-1085,Northern Arizona University,lgarza7@techcrunch.com,"776-43-8988 Poisoning by keratolyt/keratplst/hair trmt drug, undet, subs"
9,Juan,Ramos,74 Lawn Hill,95843,Indianapolis,United States,19154487441,6/13/83,Male,201573125428550,332-87-2507,Marywood University,jramos8@spiegel.de,"Spinal enthesopathy, 332-87-2507 thoracolumbar region"
10,Raymond,Gilbert,07988 American Place,63782,Young America,United States,1.937.949.4776,10/26/67,Male,5100143354213020,489-76-4263,"California State University, Bakersfield",rgilbert9@drupal.org,"Pneumococcal 332-87-2507 arthritis, hip"
11,Bonnie,Hart,301 Bellgrove Terrace,76647,Asheville,United States,1.775.549.6669,3/2/04,Female,5002350021392190,968-77-0439,University of Kansas,bharta@people.com.cn,"Alcohol abuse with alcohol-induced 12138582118 psychotic disorder, unsp"
12,Michael,Barnes,0694 Carey Trail,25914,Young America,United States,1.419.706.0372,12/13/83,Male,3536847923585650,886-42-4950,"City University of New York, Bernard M. Baruch College",mbarnesb@springer.com,"Activity, oth involving computer 1.775.549.6669 tech and electrnc devices"
13,Keith,Morgan,6 Grim Parkway,20547,Evansville,United States,17194220741,9/15/71,Male,560223486635875000,793-58-2842,Williams Baptist College,kmorganc@google.fr,"Stress fracture, unsp foot, subs for fx w nonunion 1.775.549.6669"
14,Jeffrey,Hall,18530 Almo Street,93414,Chicago,United States,12138582118,5/30/74,Male,3558902454975670,758-50-4229,Holy Cross College,jhalld@exblog.jp,Mech compl of intraperitoneal dialysis catheter Chicago United States jhalld@exblog.jp
15,Angela,Davis,74928 Dennis Park,76672,El Paso,United States,12038020704,2/8/89,Female,5100171495675870,333-72-3840,United States Coast Guard Academy,adavise@unesco.org,"Toxic effect of ingested berries, intentional self-harm Female adavise@unesco.org"
16,Jacqueline,Stephens,7583 Florence Trail,28056,Phoenix,United States,(602)782-4119,3/12/95,Female,4405110971963430,494-66-5640,Utah Valley State College,jstephensf@redcross.org,"Nondisp fx of medial wall (602)782-4119 of unsp acetabulum, init adavise@unesco.org"
